tile_name,patch_file,lon_center,lat_center
8602837_3334180.tif,8602111.4923_3335517.8355.png,8602111.49230469,3335517.8355157003
8602837_3334180.tif,8602417.2404_3335517.8355.png,8602417.24041779,3335517.8355157003
8602837_3334180.tif,8602722.9885_3335517.8355.png,8602722.988530887,3335517.8355157003
8602837_3334180.tif,8603028.7366_3335517.8355.png,8603028.736643985,3335517.8355157003
8602837_3334180.tif,8603334.4848_3335517.8355.png,8603334.484757084,3335517.8355157003
8602837_3334180.tif,8603640.2329_3335517.8355.png,8603640.23287018,3335517.8355157003
8602837_3334180.tif,8603945.9810_3335517.8355.png,8603945.98098328,3335517.8355157003
8602837_3334180.tif,8604175.2921_3335517.8355.png,8604175.292068101,3335517.8355157003
8602837_3334180.tif,8601499.9961_3335212.0874.png,8601499.996078495,3335212.0874026027
8602837_3334180.tif,8601805.7442_3335212.0874.png,8601805.744191594,3335212.0874026027
8602837_3334180.tif,8602111.4923_3335212.0874.png,8602111.49230469,3335212.0874026027
8602837_3334180.tif,8602417.2404_3335212.0874.png,8602417.24041779,3335212.0874026027
8602837_3334180.tif,8602722.9885_3335212.0874.png,8602722.988530887,3335212.0874026027
8602837_3334180.tif,8603028.7366_3335212.0874.png,8603028.736643985,3335212.0874026027
8602837_3334180.tif,8603334.4848_3335212.0874.png,8603334.484757084,3335212.0874026027
8602837_3334180.tif,8603640.2329_3335212.0874.png,8603640.23287018,3335212.0874026027
8602837_3334180.tif,8603945.9810_3335212.0874.png,8603945.98098328,3335212.0874026027
8602837_3334180.tif,8604175.2921_3335212.0874.png,8604175.292068101,3335212.0874026027
8602837_3334180.tif,8601499.9961_3334906.3393.png,8601499.996078495,3334906.339289505
8602837_3334180.tif,8601805.7442_3334906.3393.png,8601805.744191594,3334906.339289505
8602837_3334180.tif,8602111.4923_3334906.3393.png,8602111.49230469,3334906.339289505
8602837_3334180.tif,8602417.2404_3334906.3393.png,8602417.24041779,3334906.339289505
8602837_3334180.tif,8602722.9885_3334906.3393.png,8602722.988530887,3334906.339289505
8602837_3334180.tif,8603028.7366_3334906.3393.png,8603028.736643985,3334906.339289505
8602837_3334180.tif,8603334.4848_3334906.3393.png,8603334.484757084,3334906.339289505
8602837_3334180.tif,8603640.2329_3334906.3393.png,8603640.23287018,3334906.339289505
8602837_3334180.tif,8603945.9810_3334906.3393.png,8603945.98098328,3334906.339289505
8602837_3334180.tif,8604175.2921_3334906.3393.png,8604175.292068101,3334906.339289505
8602837_3334180.tif,8601499.9961_3334600.5912.png,8601499.996078495,3334600.591176407
8602837_3334180.tif,8601805.7442_3334600.5912.png,8601805.744191594,3334600.591176407
8602837_3334180.tif,8602111.4923_3334600.5912.png,8602111.49230469,3334600.591176407
8602837_3334180.tif,8602417.2404_3334600.5912.png,8602417.24041779,3334600.591176407
8602837_3334180.tif,8602722.9885_3334600.5912.png,8602722.988530887,3334600.591176407
8602837_3334180.tif,8603028.7366_3334600.5912.png,8603028.736643985,3334600.591176407
8602837_3334180.tif,8603334.4848_3334600.5912.png,8603334.484757084,3334600.591176407
8602837_3334180.tif,8603640.2329_3334600.5912.png,8603640.23287018,3334600.591176407
8602837_3334180.tif,8603945.9810_3334600.5912.png,8603945.98098328,3334600.591176407
8602837_3334180.tif,8604175.2921_3334600.5912.png,8604175.292068101,3334600.591176407
8602837_3334180.tif,8601499.9961_3334294.8431.png,8601499.996078495,3334294.843063309
8602837_3334180.tif,8601805.7442_3334294.8431.png,8601805.744191594,3334294.843063309
8602837_3334180.tif,8602111.4923_3334294.8431.png,8602111.49230469,3334294.843063309
8602837_3334180.tif,8602417.2404_3334294.8431.png,8602417.24041779,3334294.843063309
8602837_3334180.tif,8602722.9885_3334294.8431.png,8602722.988530887,3334294.843063309
8602837_3334180.tif,8603028.7366_3334294.8431.png,8603028.736643985,3334294.843063309
8602837_3334180.tif,8603334.4848_3334294.8431.png,8603334.484757084,3334294.843063309
8602837_3334180.tif,8603640.2329_3334294.8431.png,8603640.23287018,3334294.843063309
8602837_3334180.tif,8603945.9810_3334294.8431.png,8603945.98098328,3334294.843063309
8602837_3334180.tif,8604175.2921_3334294.8431.png,8604175.292068101,3334294.843063309
8602837_3334180.tif,8601499.9961_3333989.0950.png,8601499.996078495,3333989.0949502112
8602837_3334180.tif,8601805.7442_3333989.0950.png,8601805.744191594,3333989.0949502112
8602837_3334180.tif,8602111.4923_3333989.0950.png,8602111.49230469,3333989.0949502112
8602837_3334180.tif,8602417.2404_3333989.0950.png,8602417.24041779,3333989.0949502112
8602837_3334180.tif,8602722.9885_3333989.0950.png,8602722.988530887,3333989.0949502112
8602837_3334180.tif,8603028.7366_3333989.0950.png,8603028.736643985,3333989.0949502112
8602837_3334180.tif,8603334.4848_3333989.0950.png,8603334.484757084,3333989.0949502112
8602837_3334180.tif,8603640.2329_3333989.0950.png,8603640.23287018,3333989.0949502112
8602837_3334180.tif,8603945.9810_3333989.0950.png,8603945.98098328,3333989.0949502112
8602837_3334180.tif,8604175.2921_3333989.0950.png,8604175.292068101,3333989.0949502112
8602837_3334180.tif,8601499.9961_3333683.3468.png,8601499.996078495,3333683.3468371136
8602837_3334180.tif,8601805.7442_3333683.3468.png,8601805.744191594,3333683.3468371136
