tile_name,lon_center,lat_center
8602837_3328677.tif,8602111.49230469,3327568.3845751556
8602837_3328677.tif,8602417.24041779,3327568.3845751556
8602837_3328677.tif,8602722.988530887,3327568.3845751556
8602837_3328677.tif,8603028.736643985,3327568.3845751556
8602837_3328677.tif,8603334.484757084,3327568.3845751556
8602837_3328677.tif,8603640.23287018,3327568.3845751556
8602837_3328677.tif,8603945.98098328,3327568.3845751556
8602837_3328677.tif,8604175.292068101,3327568.3845751556
8602837_3328677.tif,8601499.996078495,3327339.073490332
8602837_3328677.tif,8601805.744191594,3327339.073490332
8602837_3328677.tif,8602111.49230469,3327339.073490332
8602837_3328677.tif,8602417.24041779,3327339.073490332
8602837_3328677.tif,8602722.988530887,3327339.073490332
8602837_3328677.tif,8603028.736643985,3327339.073490332
8602837_3328677.tif,8603334.484757084,3327339.073490332
8602837_3328677.tif,8603640.23287018,3327339.073490332
8602837_3328677.tif,8603945.98098328,3327339.073490332
8602837_3328677.tif,8604175.292068101,3327339.073490332
8602837_3331429.tif,8601499.996078495,3332766.102497818
8602837_3331429.tif,8601805.744191594,3332766.102497818
8602837_3331429.tif,8602111.49230469,3332766.102497818
8602837_3331429.tif,8602417.24041779,3332766.102497818
8602837_3331429.tif,8602722.988530887,3332766.102497818
8602837_3331429.tif,8603028.736643985,3332766.102497818
8602837_3331429.tif,8603334.484757084,3332766.102497818
8602837_3331429.tif,8603640.23287018,3332766.102497818
8602837_3331429.tif,8603945.98098328,3332766.102497818
8602837_3331429.tif,8604175.292068101,3332766.102497818
8602837_3331429.tif,8601499.996078495,3332460.3543847203
8602837_3331429.tif,8601805.744191594,3332460.3543847203
8602837_3331429.tif,8602111.49230469,3332460.3543847203
8602837_3331429.tif,8602417.24041779,3332460.3543847203
8602837_3331429.tif,8602722.988530887,3332460.3543847203
8602837_3331429.tif,8603028.736643985,3332460.3543847203
8602837_3331429.tif,8603334.484757084,3332460.3543847203
8602837_3331429.tif,8603640.23287018,3332460.3543847203
8602837_3331429.tif,8603945.98098328,3332460.3543847203
8602837_3331429.tif,8604175.292068101,3332460.3543847203
8602837_3331429.tif,8601499.996078495,3332154.6062716227
8602837_3331429.tif,8601805.744191594,3332154.6062716227
8602837_3331429.tif,8602111.49230469,3332154.6062716227
8602837_3331429.tif,8602417.24041779,3332154.6062716227
8602837_3331429.tif,8602722.988530887,3332154.6062716227
8602837_3331429.tif,8603028.736643985,3332154.6062716227
8602837_3331429.tif,8603334.484757084,3332154.6062716227
8602837_3331429.tif,8603640.23287018,3332154.6062716227
8602837_3331429.tif,8603945.98098328,3332154.6062716227
8602837_3331429.tif,8604175.292068101,3332154.6062716227
8602837_3331429.tif,8601499.996078495,3331848.858158524
8602837_3331429.tif,8601805.744191594,3331848.858158524
8602837_3331429.tif,8602111.49230469,3331848.858158524
8602837_3331429.tif,8602417.24041779,3331848.858158524
8602837_3331429.tif,8602722.988530887,3331848.858158524
8602837_3331429.tif,8603028.736643985,3331848.858158524
8602837_3331429.tif,8603334.484757084,3331848.858158524
8602837_3331429.tif,8603640.23287018,3331848.858158524
8602837_3331429.tif,8603945.98098328,3331848.858158524
8602837_3331429.tif,8604175.292068101,3331848.858158524
8602837_3331429.tif,8601499.996078495,3331543.1100454265
8602837_3331429.tif,8601805.744191594,3331543.1100454265
8602837_3331429.tif,8602111.49230469,3331543.1100454265
8602837_3331429.tif,8602417.24041779,3331543.1100454265
8602837_3331429.tif,8602722.988530887,3331543.1100454265
8602837_3331429.tif,8603028.736643985,3331543.1100454265
8602837_3331429.tif,8603334.484757084,3331543.1100454265
8602837_3331429.tif,8603640.23287018,3331543.1100454265
8602837_3331429.tif,8603945.98098328,3331543.1100454265
8602837_3331429.tif,8604175.292068101,3331543.1100454265
8602837_3331429.tif,8601499.996078495,3331237.361932329
8602837_3331429.tif,8601805.744191594,3331237.361932329
8602837_3331429.tif,8602111.49230469,3331237.361932329
8602837_3331429.tif,8602417.24041779,3331237.361932329
8602837_3331429.tif,8602722.988530887,3331237.361932329
8602837_3331429.tif,8603028.736643985,3331237.361932329
8602837_3331429.tif,8603334.484757084,3331237.361932329
8602837_3331429.tif,8603640.23287018,3331237.361932329
8602837_3331429.tif,8603945.98098328,3331237.361932329
8602837_3331429.tif,8604175.292068101,3331237.361932329
8602837_3331429.tif,8601499.996078495,3330931.6138192303
8602837_3331429.tif,8601805.744191594,3330931.6138192303
8602837_3331429.tif,8602111.49230469,3330931.6138192303
8602837_3331429.tif,8602417.24041779,3330931.6138192303
8602837_3331429.tif,8602722.988530887,3330931.6138192303
8602837_3331429.tif,8603028.736643985,3330931.6138192303
8602837_3331429.tif,8603334.484757084,3330931.6138192303
8602837_3331429.tif,8603640.23287018,3330931.6138192303
8602837_3331429.tif,8603945.98098328,3330931.6138192303
8602837_3331429.tif,8604175.292068101,3330931.6138192303
8602837_3331429.tif,8601499.996078495,3330625.8657061327
8602837_3331429.tif,8601805.744191594,3330625.8657061327
8602837_3331429.tif,8602111.49230469,3330625.8657061327
8602837_3331429.tif,8602417.24041779,3330625.8657061327
8602837_3331429.tif,8602722.988530887,3330625.8657061327
8602837_3331429.tif,8603028.736643985,3330625.8657061327
8602837_3331429.tif,8603334.484757084,3330625.8657061327
8602837_3331429.tif,8603640.23287018,3330625.8657061327
8602837_3331429.tif,8603945.98098328,3330625.8657061327
8602837_3331429.tif,8604175.292068101,3330625.8657061327
8602837_3331429.tif,8601499.996078495,3330320.117593035
8602837_3331429.tif,8601805.744191594,3330320.117593035
8602837_3331429.tif,8602111.49230469,3330320.117593035
8602837_3331429.tif,8602417.24041779,3330320.117593035
8602837_3331429.tif,8602722.988530887,3330320.117593035
8602837_3331429.tif,8603028.736643985,3330320.117593035
8602837_3331429.tif,8603334.484757084,3330320.117593035
8602837_3331429.tif,8603640.23287018,3330320.117593035
8602837_3331429.tif,8603945.98098328,3330320.117593035
8602837_3331429.tif,8604175.292068101,3330320.117593035
8602837_3331429.tif,8601499.996078495,3330090.8065082114
8602837_3331429.tif,8601805.744191594,3330090.8065082114
8602837_3331429.tif,8602111.49230469,3330090.8065082114
8602837_3331429.tif,8602417.24041779,3330090.8065082114
8602837_3331429.tif,8602722.988530887,3330090.8065082114
8602837_3331429.tif,8603028.736643985,3330090.8065082114
8602837_3331429.tif,8603334.484757084,3330090.8065082114
8602837_3331429.tif,8603640.23287018,3330090.8065082114
8602837_3331429.tif,8603945.98098328,3330090.8065082114
8602837_3331429.tif,8604175.292068101,3330090.8065082114
8602837_3334180.tif,8601499.996078495,3335517.8355157003
8602837_3334180.tif,8601805.744191594,3335517.8355157003
8602837_3334180.tif,8602111.49230469,3335517.8355157003
8602837_3334180.tif,8602417.24041779,3335517.8355157003
8602837_3334180.tif,8602722.988530887,3335517.8355157003
8602837_3334180.tif,8603028.736643985,3335517.8355157003
8602837_3334180.tif,8603334.484757084,3335517.8355157003
8602837_3334180.tif,8603640.23287018,3335517.8355157003
8602837_3334180.tif,8603945.98098328,3335517.8355157003
8602837_3334180.tif,8604175.292068101,3335517.8355157003
8602837_3334180.tif,8601499.996078495,3335212.0874026027
8602837_3334180.tif,8601805.744191594,3335212.0874026027
8602837_3334180.tif,8602111.49230469,3335212.0874026027
8602837_3334180.tif,8602417.24041779,3335212.0874026027
8602837_3334180.tif,8602722.988530887,3335212.0874026027
8602837_3334180.tif,8603028.736643985,3335212.0874026027
8602837_3334180.tif,8603334.484757084,3335212.0874026027
8602837_3334180.tif,8603640.23287018,3335212.0874026027
8602837_3334180.tif,8603945.98098328,3335212.0874026027
8602837_3334180.tif,8604175.292068101,3335212.0874026027
8602837_3334180.tif,8601499.996078495,3334906.339289505
8602837_3334180.tif,8601805.744191594,3334906.339289505
8602837_3334180.tif,8602111.49230469,3334906.339289505
8602837_3334180.tif,8602417.24041779,3334906.339289505
8602837_3334180.tif,8602722.988530887,3334906.339289505
8602837_3334180.tif,8603028.736643985,3334906.339289505
8602837_3334180.tif,8603334.484757084,3334906.339289505
8602837_3334180.tif,8603640.23287018,3334906.339289505
8602837_3334180.tif,8603945.98098328,3334906.339289505
8602837_3334180.tif,8604175.292068101,3334906.339289505
8602837_3334180.tif,8601499.996078495,3334600.591176407
8602837_3334180.tif,8601805.744191594,3334600.591176407
8602837_3334180.tif,8602111.49230469,3334600.591176407
